,by,descendants,id,kids,score,time,title,type,url,text
0,JoeyBananas,14.0,36921552,"[36922336, 36921938, 36922862, 36922287, 36922708, 36922254, 36922374, 36922212, 36922284]",87,1690646655,"“Gzip beats BERT?” Part 2: dataset issues, improved speed, and results",story,https://kenschutte.com/gzip-knn-paper2/,
1,giuliomagnifico,41.0,36921808,"[36922533, 36922614, 36922572, 36922282, 36922223, 36922662, 36922345, 36922172, 36922651, 36922295, 36922895, 36922427, 36922510, 36922488, 36922190]",56,1690648081,Researchers Discover New Vulnerability in Large Language Models,story,https://www.cmu.edu/news/stories/archives/2023/july/researchers-discover-new-vulnerability-in-large-language-models,
2,keiferski,58.0,36920010,"[36922908, 36920535, 36921188, 36921056, 36920668, 36920398, 36922181, 36921947, 36921453, 36921737, 36920467, 36920753, 36921844, 36921618, 36920496, 36922435, 36920363, 36921605]",120,1690636629,Cyberdecks (2013),story,https://blog.rfox.eu/en/Hardware/Cyberdecks.html,
3,zhte415,36.0,36919659,"[36921990, 36921369, 36922522, 36920413, 36920409, 36920842, 36921764, 36922473, 36921833, 36920451, 36921480, 36921050]",177,1690634059,What Happened to Vivaldi Social?,story,https://thomasp.vivaldi.net/2023/07/28/what-happened-to-vivaldi-social/,
4,edo-codes,77.0,36918435,"[36919043, 36922904, 36922601, 36918796, 36920707, 36922299, 36919517, 36922156, 36919078, 36919753, 36920870, 36919258, 36920922, 36919430, 36920202]",230,1690622928,So you want to build your own open source chatbot,story,https://hacks.mozilla.org/2023/07/so-you-want-to-build-your-own-open-source-chatbot/,
5,ingve,11.0,36905715,"[36922490, 36922810, 36921986, 36922320, 36921818, 36922330]",50,1690546310,The future of Clang-based tooling,story,https://blog.trailofbits.com/2023/07/28/the-future-of-clang-based-tooling/,
6,saeedesmaili,13.0,36921032,"[36922391, 36921428, 36922600, 36922338]",32,1690643483,Automatic Music Playlist Generation via Simulation-Based Reinforcement Learning,story,https://research.atspotify.com/2023/07/automatic-music-playlist-generation-via-simulation-based-reinforcement-learning/,
7,malisper,,36922179,,1,1690650046,Freshpaint (YC S19) Is Hiring Engineers to Safeguard Health Data,job,https://jobs.ashbyhq.com/freshpaint/bfe56523-bff4-4ca3-936b-0ba15fb4e572?utm_source=hn,
8,bookofjoe,1.0,36921898,[36922913],11,1690648532,Ed Yong is leaving The Atlantic after 8 years and 750 stories,story,https://buttondown.email/edyong209/archive/the-eds-up-an-ending/,
9,pseudolus,78.0,36891510,"[36919283, 36919921, 36922839, 36918998, 36919761, 36921077, 36920848, 36920408, 36918820, 36922057, 36919514, 36918944, 36918827]",118,1690453728,Insect memories may not survive metamorphosis,story,https://www.quantamagazine.org/insect-brains-melt-and-rewire-during-metamorphosis-20230726/,
10,joos3,53.0,36917424,"[36918124, 36919892, 36920169, 36918168, 36919518, 36920649, 36918065, 36922041, 36920589, 36918631, 36919662]",243,1690611115,U.S. Marine Corps Antenna Handbook (1999) [pdf],story,https://www.marines.mil/Portals/1/MCRP%203-40.3C%20With%20Erratum%20z.pdf,
11,penda,8.0,36922069,"[36922860, 36922763, 36922738, 36922742, 36922432]",41,1690649485,Pentagon hit by ‘critical compromise’ of US Air Force communications – report,story,https://www.theguardian.com/us-news/2023/jul/29/pentagon-us-air-force-critical-compromise,
12,PaulHoule,85.0,36920622,"[36921870, 36922155, 36922906, 36922341, 36922841, 36922693, 36922168, 36922880, 36922831, 36922182, 36922721, 36922104, 36921768, 36922304, 36921895, 36921926, 36922453]",133,1690640703,If we want a shift to walking we need to prioritize dignity,story,https://www.strongtowns.org/journal/2023/7/28/if-we-want-a-shift-to-walking-we-need-to-prioritize-dignity,
13,Foxboron,11.0,36920105,"[36921347, 36922323, 36921901, 36922422, 36921463]",37,1690637330,Show HN: ssh-tpm-agent – SSH agent for TPMs,story,https://github.com/Foxboron/ssh-tpm-agent,
14,vikrum,10.0,36908757,"[36921837, 36922044, 36922481, 36921214]",17,1690559753,Invisible Asymptotes (2018),story,https://www.eugenewei.com/blog/2018/5/21/invisible-asymptotes,
15,fwsgonzo,33.0,36917867,"[36921571, 36919646, 36922312, 36922019, 36920657, 36918236, 36919325]",105,1690616586,"Using C++ as a scripting language, part 8",story,https://fwsgonzo.medium.com/using-c-as-a-scripting-language-part-8-d366fd98676,
16,spstoyanov,1.0,36920423,[36922529],12,1690639430,Show HN: LLMFlows – LangChain alternative for explicit and transparent apps,story,https://github.com/stoyan-stoyanov/llmflows,"Hi HN! Over the last several weekends, I&#x27;ve been building LLMFlows as an alternative to langchain.<p>There&#x27;s been a lot of discussion on the shortcomings of langchain in the past few weeks, but when I first tried it in March, I thought there are 3 main problems:
1. Too many abstractions
2. Hidden prompts and opinionated logic in chains which makes it hard to customize
3. Hard to debug<p>This inspired me to try and build a framework that solves these 3 issues, and therefore I started building LLFlows with the &quot;philosophy&quot; of being &quot;simple, explicit, and transparent.&quot;<p>A few weekends later, I think I finally managed to reach a state where I feel it&#x27;s ready to be shared.<p>I would love to hear your feedback! Thank you!"
17,MichaelMoser123,0.0,36904672,,3,1690536888,"In the 17th Century, Leibniz Dreamed of a Machine That Could Calculate Ideas",story,https://spectrum.ieee.org/in-the-17th-century-leibniz-dreamed-of-a-machine-that-could-calculate-ideas,
18,b800h,45.0,36919175,"[36922562, 36921708, 36920287, 36920542, 36920895, 36921362, 36921082, 36919967, 36919185, 36920904]",121,1690630282,Ask HN: Online activities to be made impossible by the UK Online Safety Bill,story,,"I thought it might be interesting to compile a list of things which it might be impossible (or at least very difficult) for a private individual to do under the Online Safety Bill.<p>Starters for ten:<p>1) Minecraft &#x2F; MineTest server
2) IRC server
3) Mastodon server
4) BBS
5) ... please continue<p>I&#x27;m not fully sure about all this - as I understand it, if you allow chat or user generated content, you become a private service provider, and then have a host of responsibilities including annual audits of whether a significant proportion of your users are minors. If they are then you need to use a (commercial?) age verification tool and monitor everything assiduously. Difficult to see most people being able to satisfy those requirements."
19,walterbell,1.0,36901794,[36922528],8,1690503519,TMAP – On Demand Tactile Street Map,story,https://adaptations.org/products/tmap,
20,signa11,4.0,36892168,"[36922180, 36921335, 36919676]",49,1690459108,Bpfilter Is Forever,story,https://dxuuu.xyz/bpfilter.html,
21,philbo,0.0,36920630,,10,1690640736,Ways to shoot yourself in the foot with Redis,story,https://philbooth.me/blog/four-ways-to-shoot-yourself-in-the-foot-with-redis,
22,bratao,34.0,36921038,"[36922314, 36921653, 36922544, 36921583]",52,1690643536,HuggingFace Text Generation License No Longer Open-Source,story,https://github.com/huggingface/text-generation-inference/issues/726,
23,pablogsal,443.0,36913328,"[36915232, 36917722, 36915511, 36922002, 36915747, 36916422, 36914414, 36915059, 36915313, 36915721, 36913671, 36915394, 36914451, 36918166, 36915861, 36914880, 36917952, 36917301, 36913871, 36916408, 36916761, 36918363, 36917505, 36914969, 36917451, 36915210, 36915608, 36915033, 36915871, 36916274, 36917388, 36916301, 36915093, 36917621, 36917060, 36915462, 36917953, 36917334, 36915965, 36916905, 36916194, 36917720, 36915672, 36913665, 36917815, 36913645, 36917687]",412,1690578437,Intent to approve PEP 703: making the GIL optional,story,https://discuss.python.org/t/a-steering-council-notice-about-pep-703-making-the-global-interpreter-lock-optional-in-cpython/30474,
24,CHB0403085482,296.0,36918655,"[36919069, 36919108, 36919410, 36918990, 36919123, 36919620, 36921637, 36919063, 36920412, 36919116, 36918980, 36919122, 36919117, 36919868, 36920078, 36919074, 36919519, 36919133, 36920120, 36920856, 36919089, 36921317, 36919073, 36919130, 36920135, 36920435, 36919404, 36919601, 36919523, 36919402, 36919256, 36919584, 36922073, 36921169, 36919072, 36920747, 36919939, 36920473, 36918994, 36919351, 36919876, 36920996, 36921539, 36919379, 36919240]",256,1690625538,IRC is the only viable chat protocol (2022),story,https://koshka.love/babel/irc-forever.html,
25,mwenge,6.0,36904112,"[36919607, 36920197, 36920095]",34,1690530805,Iridis Alpha Theory: The Making of a C64 Classic,story,https://iridisalpha.com/,
26,WoodenChair,31.0,36916297,"[36916596, 36916940, 36916631, 36917714, 36921370]",133,1690598706,IBM Blue Lightning: World’s Fastest 386? (2014),story,https://www.os2museum.com/wp/ibm-blue-lightning-worlds-fastest-386/comment-page-1/,
27,beatthatflight,142.0,36918050,"[36919449, 36918935, 36918736, 36919572, 36918604, 36918733, 36920913, 36919719, 36919050, 36918051, 36918594, 36922392, 36918806, 36920912, 36921498, 36921008, 36920056, 36919266, 36919585, 36919858, 36919076, 36918620, 36921826, 36920531, 36919685, 36920502, 36919545, 36918852, 36919968, 36919211, 36919623, 36919124, 36918652]",210,1690618388,Facebook users have less than a month to claim a piece of the $725M settlement,story,https://www.facebookuserprivacysettlement.com/,
28,the-mitr,36.0,36904892,"[36918880, 36918571, 36919721, 36920841, 36920509, 36918595, 36911494, 36921644, 36918601, 36921137, 36912107, 36918432, 36918957]",106,1690539060,Why is c the symbol for the speed of light? (1997),story,https://math.ucr.edu/home/baez/physics/Relativity/SpeedOfLight/c.html,
29,derealized,16.0,36919981,"[36920523, 36920275, 36922395, 36920683, 36920526]",53,1690636439,The Hacker's Dictionary (2001),story,http://www.hackersdictionary.com/html/index.html,
30,donutshop,23.0,36917214,"[36917879, 36919242, 36921194, 36918556, 36918122]",79,1690608307,Ingest OpenTelemetry metrics with Prometheus natively,story,https://last9.io/blog/native-support-for-opentelemetry-metrics-in-prometheus/,
31,thunderbong,60.0,36921675,"[36922546, 36921981, 36922492, 36922502, 36922512, 36922769, 36922150, 36922404, 36922566, 36921972, 36922605, 36922022, 36922070, 36921889, 36921978]",56,1690647345,The World’s Largest Wind Turbine Has Been Switched On,story,https://www.iflscience.com/the-worlds-largest-wind-turbine-has-been-switched-on-70047,
32,carabiner,148.0,36916254,"[36916455, 36916825, 36916923, 36917470, 36919717, 36917185, 36917259, 36918141, 36916942, 36920796, 36916562, 36917678, 36917520, 36917215, 36919740]",283,1690598163,Argonne National Lab is attempting to replicate LK-99,story,https://www.science.org/content/article/spectacular-superconductor-claim-making-news-here-s-why-experts-are-doubtful,
33,drdee,16.0,36897381,"[36921937, 36919528, 36921859, 36919553, 36918346, 36919735]",39,1690479769,"Pulled from a Field in Albania, a 2,500-Year-Old Statuette Comes to Getty",story,https://www.getty.edu/news/horse-and-rider-from-albania-statuette-conservation-exhibition/,
34,alexmolas,16.0,36917782,"[36919359, 36919094, 36921858, 36919710, 36920283, 36919490, 36919169]",35,1690615570,Counting License Plates,story,https://www.alexmolas.com/2023/07/01/counting-license-plates.html,
35,overvale,0.0,36922234,,5,1690650337,Rand Turns 75: A Look Through the Decades at World-Changing Research,story,https://www.rand.org/blog/rand-review/2023/05/rand-turns-75-a-look-through-the-decades.html,
36,kentonv,209.0,36908309,"[36911490, 36909145, 36909087, 36911349, 36908995, 36909186, 36909894, 36909837, 36909258, 36910433, 36913068, 36909926, 36917477, 36916485, 36914904, 36909688, 36917059, 36911016, 36910547, 36911202, 36911314, 36909472, 36912244, 36908941, 36910769, 36910720, 36913809, 36910960]",670,1690558084,Cap'n Proto 1.0,story,https://capnproto.org/news/2023-07-28-capnproto-1.0.html,
37,fgfm,76.0,36916182,"[36922195, 36916682, 36921630, 36917629, 36919071, 36917186, 36919822, 36918752, 36916858, 36920288, 36922313, 36916183, 36919971, 36921716, 36917176, 36917966, 36919550, 36917783, 36918147, 36917266]",217,1690597491,"LPython: Novel, Fast, Retargetable Python Compiler",story,https://lpython.org/blog/2023/07/lpython-novel-fast-retargetable-python-compiler/,
38,jseliger,0.0,36921785,,7,1690647930,The Problem of Excess Genius (1997),story,https://www.visakanv.com/archives/2021/02/14/the-problem-of-excess-genius-by-david-banks-1997/,
39,TangerineDream,235.0,36909427,"[36910427, 36915309, 36913757, 36911700, 36911509, 36910325, 36909788, 36909871, 36914184, 36909766, 36910324, 36909784, 36916838, 36913899, 36910071, 36914248, 36913929, 36910113, 36911650, 36920563, 36909975, 36915120, 36910266, 36912965, 36913110, 36912898, 36910184, 36916622, 36910779, 36911511, 36919937, 36917579, 36910739, 36917211, 36915496, 36917265, 36918397, 36913424, 36910966, 36913960, 36913147, 36913237, 36910689, 36916987, 36911825, 36911671, 36910936, 36912549, 36913347, 36912243, 36909912, 36913022, 36911484, 36914326, 36915081, 36916766, 36915087, 36919846, 36918640]",469,1690562031,Why is DNS still hard to learn?,story,https://jvns.ca/blog/2023/07/28/why-is-dns-still-hard-to-learn/,
40,forgingahead,30.0,36921602,"[36922046, 36922216, 36921790, 36921877, 36921845, 36921650, 36921762, 36921777, 36921670, 36921929]",17,1690646965,Apple’s Parental Controls Are Broken,story,https://www.wsj.com/articles/apples-parental-controls-are-broken-55a2aa52,
41,ingve,4.0,36920279,"[36921943, 36921932, 36921390]",21,1690638409,ReMarkable: The Tool I Use to Enhance My Productivity – Cal Newport [video],story,https://www.youtube.com/watch?v=v1K2yTkjDXg,
42,kgwgk,0.0,36922232,,3,1690650322,Dawkins vs. Rose on whether there’s a sex binary,story,https://whyevolutionistrue.com/2023/07/27/sex-2-dawkins-vs-rose-on-whether-theres-a-sex-binary/,
43,thunderbong,78.0,36921522,"[36922207, 36922171, 36922856, 36922669, 36922704, 36922724, 36922775, 36922595, 36922570, 36922443, 36922455, 36922498, 36921726, 36922579]",54,1690646458,Samsung sees 95% drop in profits for a second consecutive quarter,story,https://www.androidauthority.com/samsung-profits-drop-by-95-percent-3351038/,
44,LinuxBender,3.0,36921767,"[36922725, 36922719]",7,1690647793,Millions of people's data stolen because web devs forget to check access perms,story,https://www.theregister.com/2023/07/29/cisa_nsa_idor_australia/,
45,KingOfCoders,506.0,36906085,"[36914140, 36912456, 36910671, 36917805, 36910495, 36910807, 36912095, 36911319, 36910412, 36910862, 36911788, 36911969, 36913272, 36910565, 36916352, 36915199, 36913093, 36911638, 36920879, 36910603, 36913803, 36906301, 36920899, 36910521, 36914434, 36913738, 36911935, 36911997, 36916907, 36913201, 36918076, 36912544, 36914298, 36912116, 36915307, 36911971, 36915650, 36913257, 36914897, 36911120, 36916461, 36917270, 36916857, 36911728, 36910896, 36911957, 36914285, 36916801, 36911612, 36920012, 36910704, 36919271, 36912337, 36913812, 36912868, 36915595, 36910484, 36914692, 36911693, 36917565, 36912602, 36915030, 36911730, 36912230, 36912010, 36911902, 36916039, 36911068, 36911844, 36912690, 36913994, 36914465, 36915450, 36911122, 36917903, 36911946, 36910722, 36910486, 36906423, 36915545, 36913704, 36913699, 36913180, 36911861, 36910914, 36911867, 36914066, 36911758, 36911813, 36910753, 36912179, 36912814, 36911047]",305,1690548863,Threads users down by more than a half,story,https://www.bbc.com/news/technology-66336058,
46,thunderbong,245.0,36906022,"[36913220, 36912672, 36907458, 36911169, 36909082, 36915447, 36908300, 36913555, 36921233, 36908970, 36908708, 36911531, 36910262, 36908788, 36908875, 36919947, 36908469, 36908444, 36909498, 36911003, 36911395, 36912553, 36916720, 36913607, 36918503, 36912234, 36910041, 36915317, 36917005, 36907570, 36906503, 36912590, 36907892, 36911933, 36909976, 36911359, 36909037, 36912826, 36911955, 36915706, 36911602, 36911346, 36910450, 36910697, 36908517, 36916204, 36913471, 36911726, 36912772, 36909742, 36909531, 36909340, 36909244]",594,1690548379,Watch TV from the 90s and earlier,story,https://my90stv.com/,
47,jbotdev,92.0,36919225,"[36920107, 36921595, 36920381, 36920138, 36920917, 36920500, 36920482, 36920438, 36919732, 36919632]",136,1690630723,US Spies Are Lobbying Congress to Save a Phone Surveillance ‘Loophole’,story,https://www.wired.com/story/nsa-ndaa-lobbying-privacy-loophole/,
